"Dynamic Send: Asset Title","Original Industry","Product Interest","Producer","Region","Country","Language","Contact Type","Company Size","Industry","Dynamic Send: Created Date","Start Date","Expiration Date","Sub-Region","Product","Dynamic Send: Record Type","Asset Type"
"IT_How Agentic Automation Helps You Build Lasting Customer Relationships","","Agentforce; Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Alessia Zucco","EMEA","Holy See; Italy; San Marino","Italian","Customer; Prospect","SB; ESB; GRB; MM; GB; EBU","","7/25/2025","8/8/2025","7/25/2026","Italy","Agentforce","Generic","Digital Guide"
"ConsensusQ | Agentforce Overview | Iman - EMEA - GB","","Agentforce; Data 360; Einstein AI; Salesforce Customer 360","Shane Hudson","EMEA","United Kingdom","English","Customer; Prospect","ESB; SMB; MM; GB","","10/20/2025","10/20/2025","","UK","Agentforce","Generic","Dynamic Demo"
"ConsensusQ | Agentforce Overview | Iman - EMEA - CH","","Agentforce; Data 360; Einstein AI; Salesforce Customer 360","Shane Hudson","EMEA","Switzerland","English","Customer; Prospect","ESB; SMB; SMB SNR; MM","","12/18/2025","1/6/2026","","Switzerland & Liechtenstein","Agentforce","Generic","Dynamic Demo"
"ConsensusQ | Agentforce Overview | Iman - EMEA - IL","","Agentforce; Data 360; Einstein AI; Salesforce Customer 360","Shane Hudson","EMEA","Israel","English","Customer; Prospect","SB; ESB; GRB; MM; GB; EBU","","12/18/2025","1/6/2026","","Israel","Agentforce","Generic","Dynamic Demo"
"ConsensusQ | Agentforce Overview | Iman - EMEA - AE","","Agentforce; Data 360; Einstein AI; Salesforce Customer 360","Shane Hudson","EMEA","United Arab Emirates","English","Customer; Prospect","SB; ESB; GRB; MM; GB; EBU","","12/18/2025","1/6/2026","","MDE","Agentforce","Generic","Dynamic Demo"
"ConsensusQ | Agentforce Overview | Iman - EMEA - SE","","Agentforce; Data 360; Einstein AI; Salesforce Customer 360","Shane Hudson","EMEA","Sweden","English","Customer; Prospect","SB; ESB; GRB; MM; GB; EBU","","12/18/2025","1/6/2026","","Sweden","Agentforce","Generic","Dynamic Demo"
"ConsensusQ | Agentforce Overview | Iman - EMEA - NO","","Agentforce; Data 360; Einstein AI; Salesforce Customer 360","Shane Hudson","EMEA","Norway","English","Customer; Prospect","SB; ESB; GRB; MM; GB; EBU","","12/18/2025","1/6/2026","","Norway","Agentforce","Generic","Dynamic Demo"
"ConsensusQ | Agentforce Overview | Iman - EMEA - FI","","Agentforce; Data 360; Einstein AI; Salesforce Customer 360","Shane Hudson","EMEA","Finland","English","Customer; Prospect","SB; ESB; GRB; MM; GB; EBU","","12/18/2025","1/6/2026","","Finland","Agentforce","Generic","Dynamic Demo"
"ConsensusQ | Agentforce Overview | Iman - EMEA - PL","","Agentforce; Data 360; Einstein AI; Salesforce Customer 360","Shane Hudson","EMEA","Poland","English","Customer; Prospect","SMB; MM; GB; EBU","","12/18/2025","1/6/2026","","CEE","Agentforce","Generic","Dynamic Demo"
"ConsensusQ | Agentforce Overview | Iman - EMEA - DK","","Agentforce; Data 360; Einstein AI; Salesforce Customer 360","Shane Hudson","EMEA","Denmark","English","Customer; Prospect","SB; ESB; GRB; MM; GB; EBU","","12/18/2025","1/6/2026","","Denmark","Agentforce","Generic","Dynamic Demo"
"ConsensusQ | Agentforce Overview | Iman - EMEA - BE","","Agentforce; Data 360; Einstein AI; Salesforce Customer 360","Shane Hudson","EMEA","Belgium","English","Customer; Prospect","SB; ESB; GRB; MM; GB; EBU","","12/18/2025","1/6/2026","","Belgium","Agentforce","Generic","Dynamic Demo"
"ConsensusQ | Agentforce Overview | Iman - EMEA - ZA","","Agentforce; Data 360; Einstein AI; Salesforce Customer 360","Shane Hudson","EMEA","South Africa","English","Customer; Prospect","SB; ESB; GRB; MM; GB; EBU","","12/18/2025","1/6/2026","","Africa","Agentforce","Generic","Dynamic Demo"
"ConsensusQ | Agentforce Overview | Iman - EMEA - IE","","Agentforce; Data 360; Einstein AI; Salesforce Customer 360","Shane Hudson","EMEA","Ireland","English","Customer; Prospect","ESB; SMB; MM; GB","","12/18/2025","1/6/2026","","Ireland","Agentforce","Generic","Dynamic Demo"
"ConsensusQ | Agentforce Overview | Iman - EMEA - NL","","Agentforce","Shane Hudson","EMEA","Netherlands","Dutch","Customer; Prospect","SB; ESB; SMB; SMB SNR; GRB; MM; GB","","1/16/2026","1/21/2026","","Netherlands","Agentforce","Generic","Dynamic Demo"
"ConsensusQ | Agentforce Overview | Iman - EMEA - IT","","Agentforce","Shane Hudson","EMEA","Italy","Italian","Customer; Prospect","SB; ESB; GRB; MM; GB; EBU","","1/16/2026","1/21/2026","","Italy","Agentforce","Generic","Dynamic Demo"
"ConsensusQ | Agentforce Overview | Iman - EMEA - ES","","Agentforce","Shane Hudson","EMEA","Spain","Spanish","Customer; Prospect","SB; ESB; SMB; SMB SNR; GRB; MM; GB; EBU","","1/16/2026","1/21/2026","","Spain","Agentforce","Generic","Dynamic Demo"
"ConsensusQ | Agentforce Overview | Iman - EMEA - FR","","Agentforce","Shane Hudson","EMEA","France","French","Customer; Prospect","ESB; SMB; GRB; MM; GB","","1/16/2026","1/21/2026","","France","Agentforce","Generic","Dynamic Demo"
"EMEA_SMB_AT_smb-ai-use-cases","","Multi-Product","Shane Hudson","EMEA","Austria","German","Customer; Prospect","ESB; SMB; GB","","1/20/2026","1/21/2026","","Austria","Agentforce","Generic","Guide"
"EMEA_SMB_AT_crm-growth-lookbook","","Multi-Product","Shane Hudson","EMEA","Austria","German","Customer; Prospect","ESB; SMB; GB","","1/20/2026","1/21/2026","","Austria","Agentforce","Generic","Guide"
"EMEA_SMB_PL_beginners-guide-crm","","Multi-Product","Shane Hudson","EMEA","Poland","English","Customer; Prospect","SMB; GB","","1/18/2026","1/21/2026","","CEE","Agentforce","Generic","Guide"
"EMEA_SMB_CH_beginners-guide-crm","","Multi-Product","Shane Hudson","EMEA","Switzerland","English","Customer; Prospect","ESB; SMB; GB","","1/18/2026","1/21/2026","","Switzerland & Liechtenstein","Agentforce","Generic","Guide"
"EMEA_SMB_AT_beginners-guide-crm","","Multi-Product","Shane Hudson","EMEA","Austria","German","Customer; Prospect","ESB; SMB; GB","","1/18/2026","1/21/2026","","Austria","Agentforce","Generic","Guide"
"EMEA_SMB_PL_smbs-grow-with-agentforce","","Agentforce","Shane Hudson","EMEA","Poland","English","Customer; Prospect","SMB; GB","","1/18/2026","1/21/2026","","CEE","Agentforce","Generic","Guide"
"EMEA_SMB_AT_smbs-grow-with-agentforce","","Agentforce","Shane Hudson","EMEA","Austria","German","Customer; Prospect","ESB; SMB; GB","","1/16/2026","1/21/2026","","Austria","Agentforce","Generic","Guide"
"EMEA_SMB_CH_smbs-grow-with-agentforce","","Agentforce","Shane Hudson","EMEA","Switzerland","English","Customer; Prospect","ESB; SMB; GB","","1/16/2026","1/21/2026","","Switzerland & Liechtenstein","Agentforce","Generic","Guide"
"EMEA_SMB_IE_smbs-grow-with-agentforce","","Agentforce","Shane Hudson","EMEA","Ireland","English","Customer; Prospect","ESB; SMB; GB","","1/16/2026","1/21/2026","","Ireland","Agentforce","Generic","Guide"
"FR_GFM_Agentforce_growth-profitability-playbook-form","","Multi-Product","Shane Hudson","EMEA","France","French","Customer; Prospect","ESB; SMB; GRB; MM; GB","","1/15/2026","1/21/2026","","France","Agentforce","Generic","Guide"
"FR_GFM_Agentforce_cas-usage-data-ia-media","","Multi-Product","Shane Hudson","EMEA","France","French","Customer; Prospect","ESB; SMB; GRB; MM; GB","","1/15/2026","1/21/2026","","France","Agentforce","Generic","Guide"
"FR_GFM_Agentforce_ebook-b2b-distribution","","Multi-Product","Shane Hudson","EMEA","France","French","Customer; Prospect","ESB; SMB; GRB; MM; GB","","1/15/2026","1/21/2026","","France","Agentforce","Generic","Guide"
"FR_GFM_Agentforce_ebook-ia-construction","","Multi-Product","Shane Hudson","EMEA","France","French","Customer; Prospect","ESB; SMB; GRB; MM; GB","","1/15/2026","1/21/2026","","France","Agentforce","Generic","Guide"
"FR_GFM_Agentforce_healthcare-life-science-insights-report","","Multi-Product","Shane Hudson","EMEA","France","French","Customer; Prospect","ESB; SMB; GRB; MM; GB","","1/15/2026","1/21/2026","","France","Agentforce","Generic","Guide"
"FR_GFM_Agentforce_connected-shoppers-report","","Multi-Product","Shane Hudson","EMEA","France","French","Customer; Prospect","ESB; SMB; GRB; MM; GB","","1/14/2026","1/21/2026","","France","Agentforce","Generic","Guide"
"FR_GFM_Agentforce_ebook-ia-manufacturing","","Multi-Product","Shane Hudson","EMEA","France","French","Customer; Prospect","ESB; SMB; GRB; MM; GB","","1/14/2026","1/21/2026","","France","Agentforce","Generic","Guide"
"FR_GFM_Agentforce_asset-centric-service","","Multi-Product","Shane Hudson","EMEA","France","French","Customer; Prospect","ESB; SMB; GRB; MM; GB","","1/14/2026","1/21/2026","","France","Agentforce","Generic","Guide"
"FR_GFM_Agentforce_ai-data-guide","","Multi-Product","Shane Hudson","EMEA","France","French","Customer; Prospect","ESB; SMB; GRB; MM; GB","","1/14/2026","1/21/2026","","France","Agentforce","Generic","Guide"
"FR_GFM_Agentforce_industry-insights-report-ai-edition","","Multi-Product","Shane Hudson","EMEA","France","French","Customer; Prospect","ESB; SMB; GRB; MM; GB","","1/14/2026","1/21/2026","","France","Agentforce","Generic","Guide"
"FR_GFM_Agentforce_customer-centric-connected-assets","","Multi-Product","Shane Hudson","EMEA","France","French","Customer; Prospect","ESB; SMB; GRB; MM; GB","","1/14/2026","1/21/2026","","France","Agentforce","Generic","Guide"
"FR_GFM_Agentforce_digin-ai-insurance-report","","Multi-Product","Shane Hudson","EMEA","France","French","Customer; Prospect","ESB; SMB; GRB; MM; GB","","1/14/2026","1/21/2026","","France","Agentforce","Generic","Guide"
"EMEA_SMB_GB_smbs-implement-agentforce","","Agentforce","Shane Hudson","EMEA","United Kingdom","English","Customer; Prospect","ESB; SMB; GB","","1/14/2026","1/21/2026","","UK","Agentforce","Generic","Guide"
"FR_GFM_Agentforce_transforming-service-experience","","Multi-Product","Shane Hudson","EMEA","France","French","Customer; Prospect","ESB; SMB; GRB; MM","","1/14/2026","1/21/2026","","France","Agentforce","Generic","Guide"
"FR_GFM_Agentforce_translating-data-into-intelligent-insights-and-actions","","Multi-Product","Shane Hudson","EMEA","France","French","Customer; Prospect","ESB; SMB; GRB; MM; GB","","1/13/2026","1/14/2026","","France","Agentforce","Generic","Guide"
"FR_GFM_Agentforce_next-gen-ai-insurance","","Multi-Product","Shane Hudson","EMEA","France","French","Customer; Prospect","ESB; SMB; GRB; MM; GB","","1/13/2026","1/14/2026","","France","Agentforce","Generic","Guide"
"FR_GFM_Agentforce_banking-service-playbook-2024","","Multi-Product","Shane Hudson","EMEA","France","French","Customer; Prospect","ESB; SMB; GRB; MM; GB","","1/13/2026","1/21/2026","","France","Agentforce","Generic","Guide"
"FR_GFM_Agentforce_harvard-business-review-ia-sciences-de-la-vie","","Multi-Product","Shane Hudson","EMEA","France","French","Customer; Prospect","ESB; SMB; GRB; MM; GB","","1/13/2026","1/14/2026","","France","Agentforce","Generic","Guide"
"FR_GFM_Agentforce_modernizing-commercial-operations","","Multi-Product","Shane Hudson","EMEA","France","French","Customer; Prospect","ESB; SMB; GRB; MM; GB","","1/13/2026","1/14/2026","","France","Agentforce","Generic","Guide"
"FR_GFM_Agentforce_financial-services-ai-data-maturity-playbook","","Multi-Product","Shane Hudson","EMEA","France","French","Customer; Prospect","ESB; SMB; GRB; MM; GB","","1/13/2026","1/14/2026","","France","Agentforce","Generic","Guide"
"FR_GFM_Agentforce_smarter-savings-manufacturers","","Multi-Product","Shane Hudson","EMEA","France","French","Customer; Prospect","ESB; SMB; GRB; MM; GB","","1/13/2026","1/14/2026","","France","Agentforce","Generic","Guide"
"FR_GFM_Agentforce_fsi-customer-service-trends-2024","","Multi-Product","Shane Hudson","EMEA","France","French","Customer; Prospect","ESB; SMB; GRB; MM; GB","","1/13/2026","1/14/2026","","France","Agentforce","Generic","Guide"
"FR_GFM_Agentforce_trends-in-manufacturing","","Multi-Product","Shane Hudson","EMEA","France","French","Customer; Prospect","ESB; SMB; GRB; MM; GB","","1/13/2026","1/14/2026","","France","Agentforce","Generic","Guide"
"FR_GFM_Agentforce_Automatic formula, please insert a clean Web Address in column","","Multi-Product","Shane Hudson","EMEA","France","French","Customer; Prospect","ESB; SMB; GRB; MM; GB","","1/13/2026","1/14/2026","","France","Agentforce","Generic","Guide"
"NL_GFM_Agentforce_prompt-builder-guide","","Agentforce","Mamun Rahman","EMEA","Netherlands","Dutch","Prospect","MM; GB","","9/8/2025","9/23/2025","9/8/2026","Netherlands","Agentforce","Generic","Guide"
"FI_GFM_Agentforce_maximizing-roi-with-agentforce","","Agentforce","Mamun Rahman","EMEA","Finland","English","Prospect","MM; GB; EBU","","9/4/2025","9/22/2025","9/4/2026","Finland","Agentforce","Generic","Guide"
"NO_GFM_Agentforce_maximizing-roi-with-agentforce","","Agentforce","Mamun Rahman","EMEA","Norway","English","Prospect","MM; GB; EBU","","9/4/2025","9/22/2025","9/4/2026","Norway","Agentforce","Generic","Guide"
"DK_GFM_Agentforce_maximizing-roi-with-agentforce","","Agentforce","Mamun Rahman","EMEA","Denmark","English","Prospect","MM; GB; EBU","","9/4/2025","9/22/2025","9/4/2026","Denmark","Agentforce","Generic","Guide"
"SE_GFM_Agentforce_maximizing-roi-with-agentforce","","Agentforce","Mamun Rahman","EMEA","Sweden","English","Prospect","MM; GB; EBU","","9/4/2025","9/22/2025","9/4/2026","Sweden","Agentforce","Generic","Guide"
"BE_GFM_Agentforce_maximizing-roi-with-agentforce","","Agentforce","Mamun Rahman","EMEA","Belgium","English","Prospect","MM; GB; EBU","","9/4/2025","9/22/2025","9/4/2026","Belgium","Agentforce","Generic","Guide"
"NL_GFM_Agentforce_maximizing-roi-with-agentforce","","Agentforce","Mamun Rahman","EMEA","Netherlands","Dutch","Prospect","MM; GB","","9/4/2025","9/23/2025","9/4/2026","Netherlands","Agentforce","Generic","Guide"
"BE_GFM_Agentforce_prompt-builder-guide","","Agentforce","Mamun Rahman","EMEA","Belgium","English","Prospect","MM; GB; EBU","","8/19/2025","8/20/2025","8/19/2026","Belgium","Agentforce","Generic","Guide"
"FI_GFM_Agentforce_prompt-builder-guide","","Agentforce","Mamun Rahman","EMEA","Finland","English","Prospect","MM; GB; EBU","","8/19/2025","8/20/2025","8/19/2026","Finland","Agentforce","Generic","Guide"
"NO_GFM_Agentforce_prompt-builder-guide","","Agentforce","Mamun Rahman","EMEA","Norway","English","Prospect","MM; GB; EBU","","8/19/2025","8/20/2025","8/19/2026","Norway","Agentforce","Generic","Guide"
"SE_GFM_Agentforce_prompt-builder-guide","","Agentforce","Mamun Rahman","EMEA","Sweden","English","Prospect","MM; GB; EBU","","8/19/2025","8/20/2025","8/19/2026","Sweden","Agentforce","Generic","Guide"
"DK_GFM_Agentforce_prompt-builder-guide","","Agentforce","Mamun Rahman","EMEA","Denmark","English","Prospect","MM; GB; EBU","","8/19/2025","8/20/2025","8/19/2026","Denmark","Agentforce","Generic","Guide"
"DK_GFM_Agentforce_three-things-cio-want-from-ai","","Agentforce","Mamun Rahman","EMEA","Denmark","English","Prospect","MM; GB; EBU","","8/19/2025","9/22/2025","8/19/2026","Denmark","Agentforce","Generic","Guide"
"BE_GFM_Agentforce_three-things-cio-want-from-ai","","Agentforce","Mamun Rahman","EMEA","Belgium","English","Prospect","MM; GB; EBU","","9/16/2025","9/22/2025","9/16/2026","Belgium","Agentforce","Generic","Guide"
"FI_GFM_Agentforce_three-things-cio-want-from-ai","","Agentforce","Mamun Rahman","EMEA","Finland","English","Prospect","MM; GB; EBU","","9/16/2025","9/22/2025","9/16/2026","Finland","Agentforce","Generic","Guide"
"NO_GFM_Agentforce_three-things-cio-want-from-ai","","Agentforce","Mamun Rahman","EMEA","Norway","English","Prospect","MM; GB; EBU","","9/16/2025","9/22/2025","9/16/2026","Norway","Agentforce","Generic","Guide"
"SE_GFM_Agentforce_three-things-cio-want-from-ai","","Agentforce","Mamun Rahman","EMEA","Sweden","English","Prospect","MM; GB; EBU","","9/16/2025","9/22/2025","9/16/2026","Sweden","Agentforce","Generic","Guide"
"NL_GFM_Agentforce_three-things-cio-want-from-ai","","Agentforce","Mamun Rahman","EMEA","Netherlands","Dutch","Prospect","MM; GB","","9/8/2025","9/23/2025","9/8/2026","Netherlands","Agentforce","Generic","Guide"
"FY27Q1_IE_GFM_Agentforce_maximizing-roi-with-agentforce","","Agentforce; Einstein AI; Einstein Voice","Mamun Rahman","EMEA","Ireland","English","Customer; Prospect","MM; GB","","4/16/2026","4/27/2026","9/4/2026","Ireland","Agentforce","Generic","Guide"
"FR_GFM_Agentforce_implementation-guide","","Agentforce","Maxime Gilloteaux","EMEA","France; Monaco","French","Customer; Prospect","GRB; MM; GB","","8/8/2025","8/8/2025","8/8/2026","France","Agentforce","Generic","Guide"
"FR_GFM_Agentforce_trusted-services-solution-brief","","Agentforce; Platform","Maxime Gilloteaux","EMEA","France; Monaco","French","Customer; Prospect","ESB; SMB; GRB; MM; GB","","8/8/2025","8/8/2025","8/8/2026","France","Agentforce","Generic","Guide"
"FR_GFM_Agentforce_accelerate-agentic-ai","","Agentforce","Maxime Gilloteaux","EMEA","France; Monaco","French","Customer; Prospect","GRB; MM; GB","","8/8/2025","8/8/2025","8/8/2026","France","Agentforce","Generic","Guide"
"FR_GFM_Agentforce_maximizing-roi-with-agentforce","","Agentforce","Maxime Gilloteaux","EMEA","France; Monaco","French","Customer; Prospect","SMB; GRB; MM; GB","","8/5/2025","8/5/2025","8/5/2026","France","Agentforce","Generic","Guide"
"FR-Agentforce_data-governance_FY26Q2","","Agentforce","Maxime Gilloteaux","EMEA","France; Monaco","French","Customer; Prospect","GRB; MM; GB","","7/25/2025","7/25/2025","7/25/2026","France","Agentforce","Generic","Guide"
"EMEA_SMB_NL_smb-trends-6","","Multi-Product","Maxime Gilloteaux","EMEA","Netherlands","Dutch","Customer; Prospect","SB; ESB; GRB; GB","","11/6/2025","12/10/2025","11/6/2026","Netherlands","Agentforce","Generic","Guide"
"EMEA_SMB_NL_smb-ai-use-cases","","Agentforce; Multi-Product","Carolin Schmitz","EMEA","Netherlands","Dutch","Customer; Prospect","SB; ESB; GRB; GB","","11/6/2025","12/16/2025","11/6/2026","Netherlands","Agentforce","Generic","Guide"
"EMEA_SMB_NL_smbs-grow-with-agentforce","","Agentforce","Carolin Schmitz","EMEA","Netherlands","Dutch","Customer; Prospect","SB; ESB; GRB; GB","","11/5/2025","12/16/2025","11/5/2026","Netherlands","Agentforce","Generic","Guide"
"IT-Prompt builder whitepaper","","Agentforce","Alessia Zucco","EMEA","Holy See; Italy; San Marino","Italian","Customer; Prospect","SB; ESB; GRB; MM; GB; EBU","","8/1/2025","8/8/2025","8/6/2026","Italy","Agentforce","Generic","Guide"
"IT_Don't DIY Whitepaper (3 Things CIO Really Want)","","Agentforce; Einstein AI","Alessia Zucco","EMEA","Holy See; Italy; San Marino","Italian","Customer; Prospect","SB; ESB; GRB; MM; GB; EBU","","7/25/2025","8/8/2025","7/25/2026","Italy","Agentforce","Generic","Guide"
"IT_Maximizing ROI with Agentforce","","Agentforce; Data 360","Alessia Zucco","EMEA","Holy See; Italy; San Marino","Italian","Customer; Prospect","SB; ESB; GRB; MM; GB; EBU","","7/22/2025","8/8/2025","7/22/2026","Italy","Agentforce","Generic","Guide"
"IT -smbs-grow-with-agentforce","","Agentforce","Alessia Zucco","EMEA","Holy See; Italy; San Marino","Italian","Customer; Prospect","SB; ESB; GRB; MM","","8/29/2025","9/1/2025","8/29/2026","Italy","Agentforce","Generic","Guide"
"IL_GFM_Agentforce_agentic-ai-hebrew-glossary","","Agentforce","Alessia Zucco","EMEA","Israel","English","Customer; Prospect","MM; GB; EBU","","10/7/2025","10/15/2025","10/7/2026","Israel","Agentforce","Generic","Guide"
